,topic,tweets_cleaned
9,soda,summery port rum highball evokes bright character pineapple soda recipe tcoxjubkvbhys tcojvaiqfzdh
22,soda,barefootcavalry drox definitely soda get used cup tea
23,soda,akashi jinx owe soda dr pepper work
25,soda,tell pal whoever changed price soda machine seeing heaven
32,soda,lucklyskinny voy dar el lujo comer galletas soda pq quemé calorias caminando
33,soda,iyunosdi would believe said sexy soda game tcosjlgxyjw
39,soda,pipopthuis barristershorse lawn product called chauf literally heat concentrated caustic soda kill everything including moss grass grows back kg per demiacre
43,soda,dalinarog yakwtfgo bhge soda tconmzxwjc
44,soda,tenpa regardeleciel jangan banyak minum soda tapi banyakkkan minum air putih
46,soda,jessay left except soda machine leaving haha tcoizdibczi
56,soda,uta illustration mayu murata honey lemon soda special one piece film red feature ribon issue thanks mangamogurare tcodjjpfyk
57,soda,soda tcorpvsykta
61,soda, años de de música ligera de soda stereo uno de los grandes himnos de gustavo cerati como parte del disco canción animal tcodprmyicpoj demusicaligera sodastereo tcoayrvdvjgn
62,soda,sadevatandas thelmacc buna soda iyi gider hazımsızlığa birebir tcogomkwidsa
65,soda,repost need choose one team fun choose team team apple orange team blond brown team hotdog burger team milk soda team icecream potato chip team taken single team casual sportswear
79,soda,jnflesch se eu fosse cantor vários lanches mcdonald com milkshake fini variado soda pop de todos o sabores e comida mexicana tconwpsrcrek
83,soda,andy mariadenadie café soda
85,soda,anoldlefty vodka soda honor tcobezimayt
93,soda,qwertysoda tcookpxigxc
99,soda,qwertysoda 
103,soda,qwertysoda u shirt collabs
112,soda,sodamaccha おは五月 学校やだよね しんです よろしく 
122,soda,codasodagoda 水掛論にはキリがないので 私は乗らないようにしてます 同感ですが 日本手話で教育を受ける 学習権の話です そして歩み寄ることを学ぶ前の話なのに 小学校年生の子に 歩み寄れ コミュ手段身につけろ と論点のすり替えはダメですよって話ですよね 
128,soda,enjoying encrypted vodka soda spirit handsbrewingco best drinking glass tcoqhrcwyhgt
131,soda, クーポン利用で円 熱中症対策に新タイプ ソルティレモン登場 炭酸水 ml 本 送料無料 強炭酸 炭酸 無糖 zao soda プレーン レモン ピンクグレープフルーツ 割り材 箱買い ライフドリンクカンパニー lifedrink 熱中症対策 塩分 塩分 楽天 tcogmkvgwjvzz rakutenbookmark
141,soda,hear ginseng flavored cocaine soda service
152,soda, dashies delight week mustard soda tcowjhautfc
154,soda,people put peanut soda 
156,soda,lvjyenjoyer bring soda
158,soda,biurryface going say obviously fairly local smaller one remind sure pork soda one perfect place lorde another one friend theme song big one remind disney song abt friendship
159,soda,palenciadiego mvalenciamayor solo dios sabe que e el séptimo dia el abismo la luna descansaré soda stereo 
164,soda,thing cross mind pouring soda tcooysugfkbrv
170,soda,soda though usually im getting soda want coke zero ask coke zero even living south heard people saying soda feel like regional difference might homogenizing bit tcocmukccsocr
