,topic,tweet,tweet_punct_removed
9,soda,This summery port and rum highball evokes the bright character of pineapple soda. RECIPE: t.co/XjUbkvBHys t.co/jvAi6QFzDH,This summery port and rum highball evokes the bright character of pineapple soda RECIPE tcoXjUbkvBHys tcojvAiQFzDH
22,soda,@barefootcavalry @d33rox Definitely a soda you have to get used to.  Not my cup of tea.,barefootcavalry drox Definitely a soda you have to get used to  Not my cup of tea
23,soda,@425Akashi Jinx you owe me a soda. Dr. Pepper works,Akashi Jinx you owe me a soda Dr Pepper works
25,soda,"I’ll tell you what, pal… whoever changed the price at the soda machine from .50 to .75, ain’t seeing Heaven.",I’ll tell you what pal… whoever changed the price at the soda machine from  to  ain’t seeing Heaven
32,soda,@lucklyskinny m voy a dar el lujo d comer 6 galletas d soda pq quemé calorias caminando,lucklyskinny m voy a dar el lujo d comer  galletas d soda pq quemé calorias caminando
33,soda,@iyunosdi Would you believe me if I said the sexy soda can game…? t.co/s3jlgXy3Jw,iyunosdi Would you believe me if I said the sexy soda can game… tcosjlgXyJw
39,soda,@pipopthuis @BarristersHorse Lawn: we have a product here called “chauf” (literally ‘heat’). It’s concentrated caustic soda. Kills everything. Including Moss. The grass grows back…… 10 kgs per Demi-acre.,pipopthuis BarristersHorse Lawn we have a product here called “chauf” literally ‘heat’ It’s concentrated caustic soda Kills everything Including Moss The grass grows back……  kgs per Demiacre
43,soda,@DalinarOG YAKWTFGO #BHG4E #soda t.co/NM1Z8Xwj6c,DalinarOG YAKWTFGO BHGE soda tcoNMZXwjc
44,soda,@tenpa039 @Regardeleciel1 Jangan banyak minum soda tapi banyakkkan minum air putih,tenpa Regardeleciel Jangan banyak minum soda tapi banyakkkan minum air putih
46,soda,@jessay1995 This is what was left. Except the soda machine is leaving haha t.co/I1Zdi5BcZi,jessay This is what was left Except the soda machine is leaving haha tcoIZdiBcZi
56,soda,"Uta Illustration by Mayu Murata (Honey Lemon Soda) and Special ONE PIECE: FILM RED Feature in Ribon Issue #9 2022.

Thanks to @MangaMoguraRE! t.co/dJjP64fYk1","Uta Illustration by Mayu Murata Honey Lemon Soda and Special ONE PIECE FILM RED Feature in Ribon Issue  

Thanks to MangaMoguraRE tcodJjPfYk"
57,soda,SODA ‼️😤😠🥴 t.co/42rpvsyKTA,SODA ‼️😤😠🥴 tcorpvsyKTA
61,soda,"32 años de ‘De Música Ligera’, de Soda Stereo, uno de los grandes himnos de Gustavo Cerati, como parte del disco ‘Canción Animal’ t.co/DpRmYICPOj #DeMusicaLigera #SodaStereo t.co/a5YrvDVjgN", años de ‘De Música Ligera’ de Soda Stereo uno de los grandes himnos de Gustavo Cerati como parte del disco ‘Canción Animal’ tcoDpRmYICPOj DeMusicaLigera SodaStereo tcoaYrvDVjgN
62,soda,@sadevatandas15 @thelmacc9233 Buna soda iyi gider😂😂Hazımsızlığa birebir😅 t.co/GoMKwiDs7A,sadevatandas thelmacc Buna soda iyi gider😂😂Hazımsızlığa birebir😅 tcoGoMKwiDsA
