,topic,tweet,tweet_stemmed
9,soda,This summery port and rum highball evokes the bright character of pineapple soda. RECIPE: t.co/XjUbkvBHys t.co/jvAi6QFzDH,"['summeri', 'port', 'rum', 'highbal', 'evok', 'bright', 'charact', 'pineappl', 'soda', 'recip', 'tcoxjubkvbhi', 'tcojvaiqfzdh']"
22,soda,@barefootcavalry @d33rox Definitely a soda you have to get used to.  Not my cup of tea.,"['barefootcavalri', 'drox', 'definit', 'soda', 'get', 'use', 'cup', 'tea']"
23,soda,@425Akashi Jinx you owe me a soda. Dr. Pepper works,"['akashi', 'jinx', 'owe', 'soda', 'dr', 'pepper', 'work']"
25,soda,"I’ll tell you what, pal… whoever changed the price at the soda machine from .50 to .75, ain’t seeing Heaven.","['tell', 'pal', 'whoever', 'chang', 'price', 'soda', 'machin', 'see', 'heaven']"
32,soda,@lucklyskinny m voy a dar el lujo d comer 6 galletas d soda pq quemé calorias caminando,"['lucklyskinni', 'voy', 'dar', 'el', 'lujo', 'comer', 'galleta', 'soda', 'pq', 'quemé', 'caloria', 'caminando']"
33,soda,@iyunosdi Would you believe me if I said the sexy soda can game…? t.co/s3jlgXy3Jw,"['iyunosdi', 'would', 'believ', 'said', 'sexi', 'soda', 'game', 'tcosjlgxyjw']"
39,soda,@pipopthuis @BarristersHorse Lawn: we have a product here called “chauf” (literally ‘heat’). It’s concentrated caustic soda. Kills everything. Including Moss. The grass grows back…… 10 kgs per Demi-acre.,"['pipopthui', 'barristershors', 'lawn', 'product', 'call', 'chauf', 'liter', 'heat', 'concentr', 'caustic', 'soda', 'kill', 'everyth', 'includ', 'moss', 'grass', 'grow', 'back', 'kg', 'per', 'demiacr']"
43,soda,@DalinarOG YAKWTFGO #BHG4E #soda t.co/NM1Z8Xwj6c,"['dalinarog', 'yakwtfgo', 'bhge', 'soda', 'tconmzxwjc']"
44,soda,@tenpa039 @Regardeleciel1 Jangan banyak minum soda tapi banyakkkan minum air putih,"['tenpa', 'regardeleciel', 'jangan', 'banyak', 'minum', 'soda', 'tapi', 'banyakkkan', 'minum', 'air', 'putih']"
46,soda,@jessay1995 This is what was left. Except the soda machine is leaving haha t.co/I1Zdi5BcZi,"['jessay', 'left', 'except', 'soda', 'machin', 'leav', 'haha', 'tcoizdibczi']"
56,soda,"Uta Illustration by Mayu Murata (Honey Lemon Soda) and Special ONE PIECE: FILM RED Feature in Ribon Issue #9 2022.

Thanks to @MangaMoguraRE! t.co/dJjP64fYk1","['uta', 'illustr', 'mayu', 'murata', 'honey', 'lemon', 'soda', 'special', 'one', 'piec', 'film', 'red', 'featur', 'ribon', 'issu', 'thank', 'mangamogurar', 'tcodjjpfyk']"
57,soda,SODA ‼️😤😠🥴 t.co/42rpvsyKTA,"['soda', 'tcorpvsykta']"
61,soda,"32 años de ‘De Música Ligera’, de Soda Stereo, uno de los grandes himnos de Gustavo Cerati, como parte del disco ‘Canción Animal’ t.co/DpRmYICPOj #DeMusicaLigera #SodaStereo t.co/a5YrvDVjgN","['', 'año', 'de', 'de', 'música', 'ligera', 'de', 'soda', 'stereo', 'uno', 'de', 'lo', 'grand', 'himno', 'de', 'gustavo', 'cerati', 'como', 'part', 'del', 'disco', 'canción', 'anim', 'tcodprmyicpoj', 'demusicaligera', 'sodastereo', 'tcoayrvdvjgn']"
62,soda,@sadevatandas15 @thelmacc9233 Buna soda iyi gider😂😂Hazımsızlığa birebir😅 t.co/GoMKwiDs7A,"['sadevatanda', 'thelmacc', 'buna', 'soda', 'iyi', 'gider', 'hazımsızlığa', 'birebir', 'tcogomkwidsa']"
65,soda,"Repost!
YOU NEED TO CHOOSE ONE FROM EACH TEAM!

FOR FUN!!
Choose your team!
- Team Apple or Orange
- Team Blond or Brown
- Team Hotdog or Burger
- Team Milk or Soda
- Team Icecream or Potato Chips
- Team Taken or Single
- Team Casual or Sportswear","['repost', 'need', 'choos', 'one', 'team', 'fun', 'choos', 'team', 'team', 'appl', 'orang', 'team', 'blond', 'brown', 'team', 'hotdog', 'burger', 'team', 'milk', 'soda', 'team', 'icecream', 'potato', 'chip', 'team', 'taken', 'singl', 'team', 'casual', 'sportswear']"
79,soda,"@jnflesch Se eu fosse cantor: vários lanches do McDonald’s com milkshake, fini variado, soda pop de todos os sabores e comida mexicana. t.co/nwPsrCre9K","['jnflesch', 'se', 'eu', 'foss', 'cantor', 'vário', 'lanch', 'mcdonald', 'com', 'milkshak', 'fini', 'variado', 'soda', 'pop', 'de', 'todo', 'os', 'sabor', 'e', 'comida', 'mexicana', 'tconwpsrcrek']"
83,soda,@Andy091218 @Mariadenadie15 Café y Soda!!!,"['andi', 'mariadenadi', 'café', 'soda']"
85,soda,@AnOldLefty Vodka soda in your honor. t.co/BezIm3AY9T,"['anoldlefti', 'vodka', 'soda', 'honor', 'tcobezimayt']"
93,soda,@Qwerty_Soda t.co/o5KpxigX6C,"['qwertysoda', 'tcookpxigxc']"
99,soda,@Qwerty_Soda 🫡,"['qwertysoda', '']"
103,soda,@Qwerty_Soda u doing shirt collabs?,"['qwertysoda', 'u', 'shirt', 'collab']"
112,soda,"@Soda_Maccha_906 おは五月!!🌟🌟
学校やだよね😖
しんです。よろしく！🙏","['sodamaccha', 'おは五月', '学校やだよね', 'しんです', 'よろしく', '']"
